Designator,Mid X,Mid Y,Layer,Rotation
C1,131.700000,-58.900000,top,0.000000
C2,133.500000,-59.200000,top,-90.000000
C3,127.850000,-61.450000,top,0.000000
C4,128.250000,-60.000000,top,-90.000000
C5,116.675000,-58.950000,top,0.000000
C6,125.900000,-53.500000,top,0.000000
C7,125.800000,-55.800000,top,90.000000
C8,123.400000,-52.250000,top,180.000000
C9,164.150000,-85.000000,top,90.000000
C10,141.900000,-65.745000,top,90.000000
C11,145.400000,-59.500000,top,90.000000
C12,155.200000,-55.600000,top,0.000000
C13,154.450000,-70.700000,top,-90.000000
C14,154.980000,-60.680000,top,0.000000
C15,160.700000,-65.300000,top,-90.000000
C16,142.925000,-51.650000,top,90.000000
C17,142.425000,-49.175000,top,90.000000
C18,156.090000,-70.505000,top,90.000000
C19,155.730000,-59.410000,top,180.000000
C20,152.500000,-55.200000,top,180.000000
C21,154.590000,-58.020000,top,180.000000
C22,152.800000,-83.400000,top,90.000000
C23,163.400000,-67.900000,top,0.000000
C24,165.700000,-67.450000,top,90.000000
C25,153.150000,-73.900000,top,-90.000000
C26,146.200000,-73.767500,top,-90.000000
C27,70.775000,-80.325000,top,-90.000000
C28,175.900000,-92.832500,top,-90.000000
C29,86.982500,-88.600000,top,0.000000
C30,90.860000,-89.000000,top,180.000000
C31,83.200000,-85.350000,top,0.000000
C32,80.700000,-83.750000,top,-90.000000
C33,79.250000,-83.400000,top,-90.000000
C34,84.150000,-89.150000,top,0.000000
C35,47.820000,-77.840000,top,90.000000
C36,51.300000,-82.600000,top,90.000000
C37,54.600000,-82.600000,top,-90.000000
C38,53.850000,-76.990000,top,180.000000
C39,58.700000,-96.450000,top,180.000000
C40,54.600000,-87.250000,top,-90.000000
C41,51.300000,-87.250000,top,-90.000000
C42,45.600000,-80.180000,top,0.000000
C43,47.750000,-88.200000,top,180.000000
C44,58.150000,-94.850000,top,90.000000
C45,59.300000,-94.850000,top,90.000000
C46,39.360000,-84.840000,top,90.000000
C47,47.300000,-91.950000,top,-90.000000
C48,44.400000,-91.850000,top,90.000000
C49,42.100000,-78.900000,top,0.000000
C50,42.725000,-66.975000,top,180.000000
C51,139.350000,-82.450000,top,180.000000
